cluster,size,top_true_genres,top_terms,representative_books,sample_titles
7,162,"Historical Fiction (53), Romance (36), Fantasy (18), Young Adult (17), Science Fiction (15)","her, she, in, to, is, their, family, with, as, of her, of the, that",Secret Garden | The Secret Garden | Anne of Green Gables | The Secret Life Of Bees | While I Was Gone,"The Lion, the Witch and the Wardrobe | Lovely Bones | The Lovely Bones | The Giver | Little Women"
15,159,"Mystery (143), Fantasy (8), Romance (5), Classics (1), Science Fiction (1)","to, is, in, murder, on, his, he, an, her, she, that, of the",Trace | Trace | Hour Game | Poirot Investigates | Unnatural Exposure,Angels & Demons | The Lovely Bones | The Lovely Bones | The Lovely Bones | The Da Vinci Code
17,144,"Classics (78), Historical Fiction (27), Fantasy (26), Mystery (8), Science Fiction (3)","in, his, is, to, of the, by, this, that, translation, as, life, it",The Brothers Karamazov | Siddhartha | The Brothers Karamazov | Crime and Punishment (Literary Touchstone Edition | War and Peace,Lord of the Flies | Dracula | Anna Karenina | Anna Karenina | Anna Karenina
0,135,"Classics (100), Romance (28), Mystery (3), Historical Fiction (2), Fantasy (2)","her, in, to, novel, is, of the, love, by, with, she, as, most",Pride and Prejudice | Sense and Sensibility | Pride and Prejudice | The House of Mirth | Great Expectations,Pride and Prejudice | Pride and Prejudice | Pride and Prejudice | Pride & Prejudice | Pride and Prejudice
1,129,"Classics (49), Fantasy (44), Historical Fiction (14), Mystery (7), Young Adult (6)","book, edition, text, original, paperback, this, pages, to, for, of the, by, in",A Tale of Two Cities | Leviathan | The Scarlet Letter | The Woman in White | Siddhartha,To Kill a Mockingbird | The Catcher In The Rye | The Catcher in the Rye | Lord Of The Flies | Jane Eyre
2,124,"Classics (49), Historical Fiction (32), Young Adult (17), Mystery (9), Romance (7)","in, his, american, is, to, of the, an, by, novel, he, as, story",Invisible Man | Invisible Man | Angle of Repose | The Road | The Catcher in the Rye: Annotations and Study Aids,To Kill a Mockingbird | To Kill a Mockingbird | To Kill a Mockingbird | To Kill a Mockingbird | The Catcher in the Rye: Annotations and Study Aids
16,124,"Fantasy (101), Historical Fiction (7), Science Fiction (6), Mystery (5), Classics (4)","to, in, his, he, king, is, stephen king, that, stephen, with, by, but",'Salem's Lot | Skeleton Crew | Nightmares and Dreamscapes | The Gunslinger | Dreamcatcher,Twilight | Frankenstein | Frankenstein | The Shining | The Shining
14,118,"Fantasy (36), Romance (32), Mystery (27), Young Adult (10), Historical Fiction (9)","her, she, to, is, in, for, at, but, who, with, that, has",School's Out—Forever | Three to Get Deadly | Shopaholic Abroad | The Kalahari Typing School for Men | The Secret Dreamworld of a Shopaholic,The Catcher In The Rye | The Catcher in the Rye | Bridget Jones's Diary | Tuesdays with Morrie | The Devil Wears Prada
4,118,"Fantasy (34), Classics (32), Romance (26), Historical Fiction (12), Mystery (11)","to, in, is, with, his, as, of the, that, an, for, in the, are","Perfume: The Story of a Murderer | Blind Willow, Sleeping Woman: 24 Stories | The Unbearable Lightness of Being | Kafka on the Shore | Kafka on the Shore",The Great Gatsby | Memoirs of a Geisha | Memoirs of a Geisha | Memoirs of a Geisha | Memoirs of a Geisha
11,114,"Romance (62), Historical Fiction (15), Mystery (14), Fantasy (13), Science Fiction (6)","her, she, love, to, in, is, that, his, he, for, has, from",Suzanne's Diary for Nicholas | Message in a Bottle | Message in a Bottle | A Bend in the Road | The Rescue,The Book Thief | The Book Thief | The Time Traveler's Wife | The Time Traveler's Wife | The Time Traveler's Wife
5,106,"Fantasy (54), Classics (21), Historical Fiction (17), Science Fiction (7), Romance (5)","story, in, of the, is, story of, to, his, history, war, tells, epic, this",The Epic of Gilgamesh | The Odyssey | The Iliad/The Odyssey | The Oresteia | Atlas Shrugged,The Kite Runner | The Kite Runner | The Alchemist | The Alchemist | The Da Vinci Code
12,104,"Fantasy (64), Science Fiction (35), Mystery (3), Historical Fiction (1), Classics (1)","to, earth, is, planet, it, his, that, in, are, he, time, of the","Ender's Game | Life, the Universe and Everything | Life, the Universe and Everything | Mostly Harmless | The Restaurant at the End of the Universe",The Handmaid's Tale | The Hitchhiker's Guide to the Galaxy | The Hitchhiker's Guide to the Galaxy | The Hitchhiker's Guide to the Galaxy | The Hitchhiker's Guide to the Galaxy
19,95,"Fantasy (85), Science Fiction (9), Classics (1)","to, magic, of the, is, he, his, but, with, in, harry, that, world",Silver on the Tree | The Elfstones of Shannara | The Subtle Knife | Magician: Apprentice | Magician: Apprentice,Harry Potter and the Prisoner of Azkaban | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Chamber of Secrets | Harry Potter and the Goblet of Fire | Harry Potter and the Order of the Phoenix
8,86,"Fantasy (24), Romance (19), Young Adult (18), Classics (18), Historical Fiction (7)","shakespeare, play, the play, plays, of shakespeare, to, of the, notes, text, this, in, by",Hamlet | Much Ado about Nothing (Oxford School Shakespeare | Antigone | A Midsummer Night's Dream | Macbeth,Romeo and Juliet | Romeo and Juliet | Romeo and Juliet | Romeo and Juliet | Romeo and Juliet
10,84,"Classics (37), Fantasy (22), Historical Fiction (16), Young Adult (4), Mystery (3)","island, in, to, on, adventure, is, his, with, tale, for, of the, ship",Treasure Island | Robinson Crusoe | Treasure Island | Treasure Island | Treasure Island,Lord of the Flies | Lord of the Flies | Lord of the Flies | Lord of the Flies | The Illustrated Alchemist: A Fable about Following Your Dream
